id	MS2 name	MS2 score	level	MS1 name	MS1 ppm	rt	mz	type	X_1	X_12	X_13	X_14	X_16	X_17	X_19	X_22	X_25	X_27	X_4	X_5	X_6	X_7	X_9	X_10	X_11	X_15	X_18	X_2	X_20	X_21	X_23	X_24	X_26	X_28	X_29	X_3	X_30	X_31	X_8	QC01	QC02	QC03	QC04	QC05
5456						171.1695	389.0562516	POS	0.409902586	0.35983416	0.299851587	0.417969103	0.382364323	0.374066519	0.459334033	0.564662128	0.430063522	0.29726965	0.415628088	0.387741892	0.442078166	0.425792382	0.396756964	0.548343807	0.37748793	0.39243063	0.465059111	0.264512446	0.340965599	0.393053365	0.343813523	0.36276171	0.353617032	0.539871639	0.47597062	0.369937544	0.401678508	0.473484759	0.40201292	0.383310474	0.375124731	0.349570347	0.410355661	0.450285708
22585						396.2645	756.0400428	NEG	0.644197609	0.65933464	0.570284174	0.358058898	0.617678739	0.556306249	0.389121866	0.780011079	0.460191903	0.527013656	0.279966509	0.515659492	0.622700907	0.543230675	0.370532089	0.392400983	0.395475787	0.558831957	0.512777157	0.581619598	0.589868442	0.471092421	0.468841044	0.335241448	0.361621119	0.549835461	0.508103521	0.590313083	0.347558202	0.170366034	0.40225088	0.451457969	0.496576473	0.434726071	0.496000267	0.46883403
1187						242.0985	272.1856455	POS	0.331722763	0.200257095	0.184395917	0.239614945	0.119117395	0.197113732	0.192923155	0.970930426	0.208061767	0.16232689	0.287991135	0.075919407	0.540922433	0.24515737	0.181077376	0.155405467	0.20099447	0.072962848	0.428770081	0.458345466	0.223930559	0.075928261	0.120331562	0.105140071	0.099662207	0.165398917	0.440645816	0.367487777	0.249467582	0.367277895	0.402277805	0.208953353	0.224058883	0.229558219	0.23027691	0.245328622
2064						28.30615	649.5216603	POS	0.111477377	0.289362078	0.102153786	0.24817719	0.116961015	0.171795137	0.326783467	0.1259884	0.272216623	0.164617834	0.235356141	0.185256729	0.170623309	0.194496908	0.020304935	0.217711554	0.086033866	0.082998004	0.248450699	0.131504067	0.238518287	0.11726137	0.044839279	0.125306937	0.063105618	0.065691818	0.116356443	0.104391353	0.140327388	0.125682487	0.402299244	0.075679323	0.094414002	0.094322593	0.075061935	0.121614334
22216						384.293	665.1897764	NEG	0.274309483	0.092942082	0.152260295	0.115063101	0.188885261	0.072177468	0.184699512	0.14579222	0.187972334	0.076321418	0.141699698	0.135314032	0.17455104	0.167301212	0.118607026	0.021707493	0.07235207	0.070898285	0.251858253	0.087725708	0.152344373	0.326443277	0.174611889	0.002249589	0.20948777	0.231669009	0.251926494	0.08650241	0.104620627	0.167371409	0.402665048	0.064636266	0.102359445	0.115744505	0.147663168	0.143658632
3698						49.9819	75.83010184	POS	0.532393222	0.000143738	0.000151244	0.0001523	0.029364445	0.046099712	0.000146677	0.011922539	0.381787537	0.003340041	0.554395704	0.608855762	0.512904568	0.042738804	0.040310182	0.000149982	0.000140732	0.000144438	0.502737682	0.478097358	0.065380982	0.048720147	0.321771367	0.295061331	0.44209988	0.655705861	0.436532968	0.685863177	0.463064118	0.428639584	0.402754873	0.205469456	0.212696246	0.196734082	0.222301038	0.217849921
10252			D	Adefovir	-21.4412958	383.192	274.1871191	POS	0.229852092	0.28066341	0.339937365	0.269801486	0.266564402	0.277844062	0.349443891	0.181588411	0.217129603	0.089596069	0.086447779	0.064131326	0.291114616	0.229799398	0.207169493	0.000149982	0.137660084	0.15505359	0.213817388	0.164111677	0.436492339	0.449496254	0.11680092	0.001293781	0.132280279	0.111402613	0.101655039	0.139739348	0.327793099	0.141972344	0.4028059	0.186937951	0.157098885	0.159590902	0.148616306	0.158797591
10880			D	Cethromycin	-16.31820196	405.981	766.926778	POS	0.454219347	0.440644091	0.58078465	0.453852382	0.524385404	0.530848364	0.451987453	0.330067552	0.463256539	0.417669666	0.364941427	0.579121888	0.506422982	0.482319339	0.391199842	0.420965906	0.504900766	0.426565205	0.537596925	0.44103299	0.533775162	0.48002911	0.41447192	0.425831728	0.446737477	0.500995887	0.459292731	0.472271568	0.492183984	0.374898128	0.403094098	0.391678383	0.375942232	0.413812063	0.355244444	0.463809887
13448						202.744	816.5753591	NEG	0.219045926	0.186748173	0.390245998	0.520478758	0.268074451	0.193100672	0.350543936	0.286980184	0.224951123	0.260971428	0.2247542	0.260774588	0.276086527	0.13273953	0.254454417	0.17208325	0.225727276	0.182456454	0.343061442	0.245979286	0.279927398	0.315493248	0.250033198	0.213761906	0.301029618	0.397319236	0.361557219	0.166585819	0.205429199	0.206909231	0.403125902	0.091525944	0.120614094	0.1565086	0.196226135	0.183750528
16259			D	"6-[(3-{[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"	8.316617013	165.059	611.4893537	NEG	0.967344851	0.244714383	0.582700003	0.238382758	0.369052619	0.403569327	0.28168285	0.401096392	0.599671397	0.483193848	0.42977531	0.471190081	0.230416165	2.976997949	0.338411953	0.084877224	0.51318584	0.383915907	0.158744254	0.353238315	0.792041883	0.211528476	0.57532817	0.643686914	0.378275805	0.510049966	0.289203928	0.333658007	0.673266686	0.402047946	0.403227205	0.431673379	0.486515487	0.500407463	0.526260786	0.35278593
889			D	7-Methylguanine	-4.463951469	659.4075	176.0929731	POS	0.00451321	0.003947441	0.135178742	0.135326615	0.07248552	0.128538959	0.149019817	0.147572004	0.134529047	0.204326017	0.109843221	0.46365759	0.080333043	0.110458927	0.162255674	0.150481994	0.11774521	0.136053733	0.177228248	0.1065177	0.139596981	0.205886931	0.10699509	0.146756881	0.132848263	0.082375023	0.171393346	0.245470052	0.117840517	0.006320771	0.403715867	0.110701431	0.134508086	0.115480636	0.130005083	0.156771803
12259						212.2305	560.3120489	POS	0.496972647	0.350806898	0.446003566	0.438231718	0.67422128	0.644691725	0.451678006	0.511462537	0.477316435	0.507770713	0.514429501	0.392134524	0.561789452	0.65263261	0.554359158	0.680526246	0.643078995	0.564602164	0.381094716	0.480345761	0.64318558	0.662920589	0.451806185	0.2910826	0.405434333	0.751465737	0.583289231	0.347565743	0.337018575	0.432824956	0.403719094	0.348854734	0.397750678	0.464273881	0.478088736	0.580796567
14087						30.75475	208.9760215	NEG	0.079319762	0.539473823	0.335831649	0.36099969	0.153505676	0.048162482	0.070341805	0.048107204	0.219463668	0.15717531	0.074535222	0.06400995	0.020853646	0.060471388	0.077351633	0.004424813	0.129327796	0.116445188	0.749822651	0.070671186	0.036221683	0.20819715	0.079365303	0.046696704	0.309798591	0.315054763	0.085781452	0.080957573	0.240103996	0.141991919	0.403956956	0.169359663	0.100909407	0.147370149	0.161761003	0.166464475
14623						45.25295	242.2210081	NEG	0.377322248	0.16454369	0.146459016	1.913340612	0.206519922	0.28368107	0.263209749	0.25010007	0.772327186	0.366934138	0.258754002	0.48221452	0.801898749	0.168742101	0.920891711	0.47021907	0.201397508	0.20693811	0.143290412	0.104756367	0.58287907	0.250327567	0.53419226	0.283950021	0.119744524	0.256177164	0.31634828	0.684420786	0.503664508	0.221809095	0.403983213	0.442239851	0.402170755	0.349737892	0.369989838	0.431810209
